BN,Starter,Synthesizer,Augmentation,Dataset,Column Shapes,Column Pair Trends,Average,KL improvement,Logical
Benchmark,500,CTGAN,20,Benchmark-500-CTGAN-20,92.41,87.3,89.855,-7.797251494,0
Benchmark,500,Mostly,2,Benchmark-500-Mostly-2,97.92,96.81,97.365,0.22268687,1
Benchmark,500,Mostly,5,Benchmark-500-Mostly-5,98.26,97.22,97.74,0.30365616,1
Benchmark,500,Mostly,10,Benchmark-500-Mostly-10,98.43,97.37,97.9,0.233119997,1
Benchmark,500,Mostly,20,Benchmark-500-Mostly-20,98.5,97.46,97.98,0.07701537,1
Benchmark,1000,TVAE,2,Benchmark-1000-TVAE-2,96.55,94.15,95.35,-0.353054863,0
Benchmark,1000,TVAE,5,Benchmark-1000-TVAE-5,95.71,92.86,94.285,-1.041280704,0
Benchmark,1000,TVAE,10,Benchmark-1000-TVAE-10,95.47,92.32,93.895,-1.388988089,0
Benchmark,1000,TVAE,20,Benchmark-1000-TVAE-20,95.3,91.82,93.56,-1.855584328,0
Benchmark,1000,CTGAN,2,Benchmark-1000-CTGAN-2,93.05,89.8,91.425,-2.71897494,0
Benchmark,1000,CTGAN,5,Benchmark-1000-CTGAN-5,91.26,87.46,89.36,-4.12266119,0
Benchmark,1000,CTGAN,10,Benchmark-1000-CTGAN-10,90.2,85.98,88.09,-4.62848019,0
Benchmark,1000,CTGAN,20,Benchmark-1000-CTGAN-20,89.88,85.44,87.66,-5.073419965,0
Benchmark,1000,Mostly,2,Benchmark-1000-Mostly-2,98.97,98.02,98.495,0.254271524,1
Benchmark,1000,Mostly,5,Benchmark-1000-Mostly-5,99.29,98.26,98.775,0.354365038,1
Benchmark,1000,Mostly,10,Benchmark-1000-Mostly-10,99.08,98.08,98.58,0.22890352,1
Benchmark,1000,Mostly,20,Benchmark-1000-Mostly-20,99.14,97.98,98.56,0.19115674,1
Sports,100,TVAE,2,Sports-100-TVAE-2,89.83,82.13,85.98,0.05098145,1
Sports,100,TVAE,5,Sports-100-TVAE-5,87.45,77.53,82.49,0.046804969,1
Sports,100,TVAE,10,Sports-100-TVAE-10,85.99,75.38,80.685,-0.027972935,0
Sports,100,TVAE,20,Sports-100-TVAE-20,85.32,74.37,79.845,-0.032697107,0
Sports,100,CTGAN,2,Sports-100-CTGAN-2,96.29,84.74,90.515,-0.089577861,0
Sports,100,CTGAN,5,Sports-100-CTGAN-5,95.86,82.18,89.02,0.152242235,1
Sports,100,CTGAN,10,Sports-100-CTGAN-10,94.78,81.09,87.935,0.350464429,1
Sports,100,CTGAN,20,Sports-100-CTGAN-20,95.12,80.47,87.795,0.461618725,1
Sports,100,Mostly,2,Sports-100-Mostly-2,96.64,87.97,92.305,-0.057613725,0
Sports,100,Mostly,5,Sports-100-Mostly-5,96.64,86.57,91.605,0.161452467,1
Sports,100,Mostly,10,Sports-100-Mostly-10,96.31,86.29,91.3,0.349994216,1
Sports,100,Mostly,20,Sports-100-Mostly-20,96.66,85.89,91.275,0.496749786,1
Sports,500,TVAE,2,Sports-500-TVAE-2,76.26,62.15,69.205,-0.09631757,0
Sports,500,TVAE,5,Sports-500-TVAE-5,70.62,52.93,61.775,-0.171950341,0
Sports,500,TVAE,10,Sports-500-TVAE-10,67.68,48.58,58.13,-0.230121577,0
Sports,500,TVAE,20,Sports-500-TVAE-20,66.33,46.2,56.265,-0.296334161,0
Sports,500,CTGAN,2,Sports-500-CTGAN-2,96.83,87.88,92.355,0.145698626,1
Sports,500,CTGAN,5,Sports-500-CTGAN-5,96.27,85.35,90.81,0.226186846,1
Sports,500,CTGAN,10,Sports-500-CTGAN-10,95.91,84.35,90.13,0.204605242,1
Sports,500,CTGAN,20,Sports-500-CTGAN-20,95.94,83.7,89.82,0.202880387,1
Sports,500,Mostly,2,Sports-500-Mostly-2,97.98,95.04,96.51,0.158007793,1
Sports,500,Mostly,5,Sports-500-Mostly-5,97.43,94.36,95.895,0.375216653,1
Sports,500,Mostly,10,Sports-500-Mostly-10,97.76,94.49,96.125,0.490768592,1
Sports,500,Mostly,20,Sports-500-Mostly-20,97.42,94.18,95.8,0.522392989,1
Sports,1000,TVAE,2,Sports-1000-TVAE-2,82.15,69.83,75.99,-0.207309583,0
Sports,1000,TVAE,5,Sports-1000-TVAE-5,77.59,62.05,69.82,-0.363155965,0
Sports,1000,TVAE,10,Sports-1000-TVAE-10,75.82,58.78,67.3,-0.509261595,0
Sports,1000,TVAE,20,Sports-1000-TVAE-20,74.65,56.72,65.685,-0.702347351,0
Sports,1000,CTGAN,2,Sports-1000-CTGAN-2,93.41,86.58,89.995,-0.139397194,0
Sports,1000,CTGAN,5,Sports-1000-CTGAN-5,91.43,83.01,87.22,-0.166988738,0
Sports,1000,CTGAN,10,Sports-1000-CTGAN-10,90.77,81.77,86.27,-0.240723983,0
Sports,1000,CTGAN,20,Sports-1000-CTGAN-20,90.37,80.91,85.64,-0.340063673,0
Sports,1000,Mostly,2,Sports-1000-Mostly-2,98.66,96.62,97.64,0.090075336,1
Sports,1000,Mostly,5,Sports-1000-Mostly-5,98.23,96.13,97.18,0.249096864,1
Sports,1000,Mostly,10,Sports-1000-Mostly-10,98.17,96.05,97.11,0.345547948,1
Sports,1000,Mostly,20,Sports-1000-Mostly-20,98.28,96.12,97.2,0.306323231,1
